G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,97,103,0,1,L 1,
2,Sat Oct 29 2016,12:30p ET,,Box Score,,Atlanta Hawks,L,,72,104,0,2,L 2,
3,Tue Nov 1 2016,7:00p ET,,Box Score,,Orlando Magic,L,,101,103,0,3,L 3,
4,Wed Nov 2 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,93,109,0,4,L 4,
5,Sat Nov 5 2016,7:00p ET,,Box Score,,Cleveland Cavaliers,L,,101,102,0,5,L 5,
6,Mon Nov 7 2016,7:00p ET,,Box Score,,Utah Jazz,L,,84,109,0,6,L 6,
7,Wed Nov 9 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,OT,115,122,0,7,L 7,
8,Fri Nov 11 2016,7:00p ET,,Box Score,,Indiana Pacers,W,OT,109,105,1,7,W 1,
9,Sat Nov 12 2016,7:30p ET,,Box Score,@,Atlanta Hawks,L,,96,117,1,8,L 1,
10,Mon Nov 14 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,88,115,1,9,L 2,
11,Wed Nov 16 2016,7:00p ET,,Box Score,,Washington Wizards,W,,109,102,2,9,W 1,
12,Thu Nov 17 2016,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,86,110,2,10,L 1,
13,Sat Nov 19 2016,7:30p ET,,Box Score,,Phoenix Suns,W,,120,105,3,10,W 1,
14,Mon Nov 21 2016,7:00p ET,,Box Score,,Miami Heat,W,,101,94,4,10,W 2,
15,Wed Nov 23 2016,7:00p ET,,Box Score,,Memphis Grizzlies,L,2OT,99,104,4,11,L 1,
16,Fri Nov 25 2016,7:30p ET,,Box Score,,Chicago Bulls,L,,89,105,4,12,L 2,
17,Sun Nov 27 2016,1:00p ET,,Box Score,,Cleveland Cavaliers,L,,108,112,4,13,L 3,
18,Mon Nov 28 2016,7:30p ET,,Box Score,@,Toronto Raptors,L,,95,122,4,14,L 4,
19,Fri Dec 2 2016,7:00p ET,,Box Score,,Orlando Magic,L,,88,105,4,15,L 5,
20,Sat Dec 3 2016,7:30p ET,,Box Score,,Boston Celtics,L,,106,107,4,16,L 6,
21,Mon Dec 5 2016,7:00p ET,,Box Score,,Denver Nuggets,L,,98,106,4,17,L 7,
22,Tue Dec 6 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,91,96,4,18,L 8,
23,Thu Dec 8 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,99,88,5,18,W 1,
24,Sun Dec 11 2016,6:00p ET,,Box Score,@,Detroit Pistons,W,,97,79,6,18,W 2,
25,Wed Dec 14 2016,7:00p ET,,Box Score,,Toronto Raptors,L,,114,123,6,19,L 1,
26,Fri Dec 16 2016,8:00p ET,,Box Score,,Los Angeles Lakers,L,,89,100,6,20,L 2,
27,Sun Dec 18 2016,6:00p ET,,Box Score,,Brooklyn Nets,W,,108,107,7,20,W 1,
28,Tue Dec 20 2016,7:00p ET,,Box Score,,New Orleans Pelicans,L,,93,108,7,21,L 1,
29,Fri Dec 23 2016,9:00p ET,,Box Score,@,Phoenix Suns,L,,116,123,7,22,L 2,
30,Mon Dec 26 2016,10:30p ET,,Box Score,@,Sacramento Kings,L,,100,102,7,23,L 3,
31,Thu Dec 29 2016,9:00p ET,,Box Score,@,Utah Jazz,L,,83,100,7,24,L 4,
32,Fri Dec 30 2016,9:00p ET,,Box Score,@,Denver Nuggets,W,,124,122,8,24,W 1,
33,Tue Jan 3 2017,7:00p ET,,Box Score,,Minnesota Timberwolves,W,,93,91,9,24,W 2,
